Getting all .java files in /Users/tamycova/SoftwareAnalytics/Lambda/dubbo including those in subdirectories 
1229 java files in ./dubbo
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/biz/common/i18n/impl/MessageResourceServiceImpl.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/biz/common/i18n/MessageResourceService.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/PageContext.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/ConfigService.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/ConsumerService.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/AbstractService.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/ConfigServiceImpl.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/ConsumerServiceImpl.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/OverrideServiceImpl.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/OwnerServiceImpl.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/ProviderServiceImpl.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/RouteServiceImpl.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/impl/UserServiceImpl.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/OverrideService.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/OwnerService.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/ProviderService.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/RouteService.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/service/UserService.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/status/DatabaseStatusChecker.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/status/LoadStatusChecker.java
0 lambda expressions in /Users/tamycova/SoftwareAnalytics/Lambda/./dubbo/dubbo-admin/src/main/java/com/alibaba/dubbo/governance/status/MemoryStatusChecker.java
